epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,3542.59,0.92078,0.71302,0.95903,0.98701,0.99514,0.995,0.66135,1.15751,0.67606,1.09295,9.904e-05,9.904e-05,9.904e-05
116,3573.29,0.91887,0.71406,0.96243,0.98749,0.99598,0.995,0.66763,1.16118,0.66924,1.09643,9.64e-05,9.64e-05,9.64e-05
117,3603.56,0.94763,0.73831,0.96204,0.98929,0.9947,0.995,0.66531,1.16481,0.66359,1.10625,9.376e-05,9.376e-05,9.376e-05
118,3633.8,0.94679,0.71512,0.95105,0.991,0.99418,0.995,0.66537,1.15914,0.66489,1.12455,9.112e-05,9.112e-05,9.112e-05
119,3666.03,0.90342,0.72701,0.95633,0.985,0.99385,0.995,0.6678,1.1632,0.6651,1.13928,8.848e-05,8.848e-05,8.848e-05
120,3697.64,0.87323,0.71232,0.9467,0.9868,0.99802,0.995,0.66394,1.16172,0.67327,1.13803,8.584e-05,8.584e-05,8.584e-05
121,3729.64,0.88073,0.70179,0.94456,0.98626,1,0.995,0.65908,1.15362,0.67374,1.13314,8.32e-05,8.32e-05,8.32e-05
122,3761.99,0.92287,0.70924,0.94485,0.98521,0.99773,0.995,0.66128,1.14714,0.6721,1.12183,8.056e-05,8.056e-05,8.056e-05
123,3794.73,0.89346,0.7101,0.95186,0.98571,0.99806,0.995,0.66969,1.12852,0.67214,1.11418,7.792e-05,7.792e-05,7.792e-05
124,3824.6,0.92708,0.71927,0.9588,0.98642,0.99817,0.995,0.66997,1.11941,0.67113,1.10925,7.528e-05,7.528e-05,7.528e-05
125,3856.64,0.89566,0.68373,0.94514,0.98715,0.99817,0.995,0.67237,1.12058,0.67224,1.11076,7.264e-05,7.264e-05,7.264e-05
126,3889.25,0.94332,0.72961,0.94834,0.98843,0.99835,0.995,0.66708,1.14511,0.66745,1.135,7e-05,7e-05,7e-05
127,3919.63,0.92976,0.71387,0.94832,0.99013,0.99846,0.995,0.66331,1.16246,0.669,1.14463,6.736e-05,6.736e-05,6.736e-05
128,3953.12,0.92423,0.72218,0.95406,0.99153,0.99998,0.995,0.66225,1.18236,0.66613,1.15293,6.472e-05,6.472e-05,6.472e-05
129,3983.58,0.90713,0.74197,0.9377,0.99234,1,0.995,0.65577,1.19331,0.66416,1.15184,6.208e-05,6.208e-05,6.208e-05
130,4013.15,0.91292,0.71788,0.95689,0.9929,1,0.995,0.65224,1.1926,0.65814,1.14961,5.944e-05,5.944e-05,5.944e-05
131,4043.11,0.91328,0.69984,0.94736,0.99321,1,0.995,0.65055,1.18057,0.66471,1.13798,5.68e-05,5.68e-05,5.68e-05
132,4077.08,0.90182,0.71026,0.94646,0.99311,1,0.995,0.65209,1.17205,0.66753,1.13247,5.416e-05,5.416e-05,5.416e-05
133,4108.07,0.9332,0.74564,0.95326,0.9925,1,0.995,0.66279,1.16208,0.66705,1.12904,5.152e-05,5.152e-05,5.152e-05
134,4137.4,0.89741,0.71256,0.95736,0.99113,1,0.995,0.66362,1.16192,0.66864,1.12775,4.888e-05,4.888e-05,4.888e-05
135,4170.39,0.89512,0.71475,0.94812,0.9908,0.99925,0.995,0.6571,1.16828,0.66057,1.13633,4.624e-05,4.624e-05,4.624e-05
136,4203.26,0.88591,0.71697,0.94769,0.9907,0.99949,0.995,0.65911,1.17103,0.66172,1.13911,4.36e-05,4.36e-05,4.36e-05
137,4251.98,0.88856,0.70022,0.94698,0.9909,1,0.995,0.66711,1.16847,0.66366,1.13528,4.096e-05,4.096e-05,4.096e-05
138,4304.67,0.91495,0.70262,0.94894,0.99149,1,0.995,0.66117,1.1658,0.66716,1.13178,3.832e-05,3.832e-05,3.832e-05
139,4355.82,0.93136,0.72802,0.94775,0.9921,1,0.995,0.66254,1.16558,0.66927,1.13018,3.568e-05,3.568e-05,3.568e-05
140,4407.51,0.90452,0.71328,0.94444,0.99242,1,0.995,0.6623,1.1616,0.67191,1.127,3.304e-05,3.304e-05,3.304e-05
141,4456.62,0.94102,0.85186,0.97635,0.99222,1,0.995,0.66055,1.15998,0.67131,1.13087,3.04e-05,3.04e-05,3.04e-05
142,4506.76,0.93705,0.84748,0.97393,0.99165,1,0.995,0.65437,1.14697,0.67906,1.14003,2.776e-05,2.776e-05,2.776e-05
143,4559.07,0.91757,0.857,0.95615,0.99178,1,0.995,0.65433,1.15412,0.68242,1.15127,2.512e-05,2.512e-05,2.512e-05
144,4611.59,0.89826,0.81154,0.94582,0.99212,1,0.995,0.6505,1.16284,0.68484,1.15757,2.248e-05,2.248e-05,2.248e-05
145,4666.76,0.92461,0.83582,0.96073,0.99197,1,0.995,0.64697,1.17251,0.68384,1.15872,1.984e-05,1.984e-05,1.984e-05
146,4718.44,0.93474,0.8355,0.9522,0.99131,1,0.995,0.64351,1.1775,0.6879,1.15498,1.72e-05,1.72e-05,1.72e-05
147,4773.86,0.88829,0.80688,0.94515,0.99121,1,0.995,0.6459,1.16831,0.69436,1.14911,1.456e-05,1.456e-05,1.456e-05
148,4825.9,0.92148,0.82554,0.94764,0.99066,1,0.995,0.64673,1.16483,0.69845,1.14565,1.192e-05,1.192e-05,1.192e-05
149,4877.14,0.90157,0.79246,0.94367,0.99012,1,0.995,0.64705,1.16254,0.69852,1.1463,9.28e-06,9.28e-06,9.28e-06
150,4927.56,0.92443,0.87031,0.96858,0.98977,1,0.995,0.65231,1.15845,0.70409,1.14769,6.64e-06,6.64e-06,6.64e-06
1,39.1998,3.36982,5.00905,2.30899,0,0,0,0,2.61453,4.95127,2.15136,3.6e-05,3.6e-05,3.6e-05
2,82.9833,2.88488,4.99169,1.99062,0,0,0,0,2.25948,4.75298,1.79272,7.52476e-05,7.52476e-05,7.52476e-05
3,122.973,2.26766,4.77294,1.71652,0,0,0,0,2.20889,4.55738,1.639,0.000113703,0.000113703,0.000113703
4,158.077,2.03708,4.61986,1.54434,0,0,0,0,1.95785,4.40845,1.46172,0.000151367,0.000151367,0.000151367
5,188.117,1.84578,4.42905,1.42818,0.14286,0.05263,0.09648,0.04974,1.60405,4.30048,1.27596,0.000188238,0.000188238,0.000188238
6,219.185,1.76194,4.2376,1.34238,0.21345,0.46491,0.35875,0.18221,1.50182,4.18447,1.21609,0.000224318,0.000224318,0.000224318
7,249.22,1.70424,4.13573,1.29569,0.14759,0.52632,0.38653,0.1928,1.52391,4.10797,1.1901,0.000259606,0.000259606,0.000259606
8,282.469,1.65071,3.82224,1.28402,0.20178,0.74561,0.59491,0.28847,1.56099,3.80312,1.15194,0.000294101,0.000294101,0.000294101
9,313.307,1.56779,3.56719,1.23575,0.11644,0.78947,0.60889,0.29471,1.61119,3.63012,1.19305,0.000327805,0.000327805,0.000327805
10,342.754,1.57339,3.34639,1.21599,0.81798,0.28969,0.54189,0.25904,1.6653,3.08178,1.29872,0.000360716,0.000360716,0.000360716
11,374.646,1.58337,3.16306,1.21355,0.7524,0.43454,0.5953,0.26451,1.72178,2.75591,1.28773,0.0003604,0.0003604,0.0003604
12,416.581,1.53123,2.8959,1.20142,0.81266,0.63781,0.82709,0.43381,1.53718,2.22316,1.24314,0.00035644,0.00035644,0.00035644
13,454.868,1.53677,2.80733,1.229,0.83247,0.7152,0.90562,0.47432,1.60363,1.79068,1.25105,0.00035248,0.00035248,0.00035248
14,496.666,1.47303,2.49456,1.15721,0.76414,0.91107,0.94313,0.48155,1.69204,1.31768,1.28132,0.00034852,0.00034852,0.00034852
15,542.168,1.5111,2.37797,1.19721,0.89577,0.92312,0.9501,0.5076,1.65704,1.26105,1.29287,0.00034456,0.00034456,0.00034456
16,591.079,1.51088,2.24688,1.17986,0.96962,0.95786,0.97995,0.51089,1.62785,1.19841,1.27317,0.0003406,0.0003406,0.0003406
17,626.333,1.49465,2.07592,1.20811,0.96371,0.96015,0.9761,0.53202,1.60294,1.16168,1.26246,0.00033664,0.00033664,0.00033664
18,668.927,1.46767,1.83986,1.1767,0.97063,1,0.995,0.59228,1.47702,1.10078,1.20544,0.00033268,0.00033268,0.00033268
19,704.794,1.4303,1.7593,1.14839,0.96711,0.99016,0.99333,0.60155,1.44415,1.03897,1.19614,0.00032872,0.00032872,0.00032872
20,740.654,1.39869,1.61927,1.13898,0.93742,0.98558,0.98308,0.57401,1.40048,1.03067,1.17896,0.00032476,0.00032476,0.00032476
21,773.766,1.41291,1.59733,1.18055,0.94379,0.98269,0.98492,0.56938,1.41538,1.03054,1.17375,0.0003208,0.0003208,0.0003208
22,807.563,1.42936,1.58273,1.15273,0.94548,0.99123,0.98483,0.57845,1.37852,1.04903,1.17009,0.00031684,0.00031684,0.00031684
23,841.31,1.37241,1.45084,1.14552,0.93912,0.99123,0.98086,0.57004,1.45702,1.10167,1.16936,0.00031288,0.00031288,0.00031288
24,874.044,1.38704,1.41925,1.1431,0.93786,0.99123,0.96789,0.57093,1.41133,1.12856,1.15826,0.00030892,0.00030892,0.00030892
25,906.819,1.28922,1.35766,1.1193,0.94479,1,0.98224,0.58704,1.36694,1.07841,1.1376,0.00030496,0.00030496,0.00030496
26,940.677,1.32951,1.29887,1.1243,0.9357,1,0.98194,0.57869,1.38749,1.00075,1.13191,0.000301,0.000301,0.000301
27,973.392,1.309,1.29538,1.11345,0.94713,0.99702,0.98588,0.56448,1.42753,0.97107,1.13189,0.00029704,0.00029704,0.00029704
28,1010.8,1.29462,1.27689,1.12419,0.96061,0.99314,0.98406,0.5933,1.33408,0.94363,1.11306,0.00029308,0.00029308,0.00029308
29,1047.25,1.25923,1.19656,1.0977,0.98115,0.9596,0.9893,0.61274,1.27389,0.89639,1.09663,0.00028912,0.00028912,0.00028912
30,1079.11,1.28841,1.16748,1.09139,0.95658,0.99074,0.99236,0.62649,1.25186,0.88901,1.0915,0.00028516,0.00028516,0.00028516
31,1111.14,1.25532,1.12702,1.10682,0.95248,1,0.99283,0.61021,1.31406,0.90234,1.1107,0.0002812,0.0002812,0.0002812
32,1144.76,1.23287,1.1474,1.08848,0.95384,0.98864,0.992,0.62807,1.28801,0.89322,1.10803,0.00027724,0.00027724,0.00027724
33,1177.29,1.17866,1.12874,1.08188,0.95075,0.99806,0.99201,0.63224,1.26307,0.86885,1.10473,0.00027328,0.00027328,0.00027328
34,1215.78,1.21408,1.0837,1.08537,0.9622,0.99787,0.99147,0.61929,1.27255,0.85808,1.09993,0.00026932,0.00026932,0.00026932
